559,66,647,66,647,89,559,89
324,127,425,127,425,155,324,155
142,186,293,189,293,214,142,211
122,231,193,231,193,250,122,250
303,233,375,233,375,251,303,251
486,235,558,235,558,253,486,253
124,274,193,274,193,293,124,293
306,278,375,278,375,294,306,294
485,279,546,279,546,298,485,298
120,319,182,319,182,337,120,337
303,321,375,321,375,339,303,339
485,322,556,322,556,341,485,341
120,362,182,362,182,380,120,380
303,364,374,364,374,382,303,382
485,366,546,366,546,384,485,384
120,405,192,405,192,424,120,424
303,407,364,407,364,425,303,425
483,409,556,409,556,427,483,427
120,448,192,448,192,467,120,467
303,450,374,450,374,468,303,468
483,452,556,452,556,470,483,470
119,491,182,491,182,510,119,510
301,492,374,495,374,514,300,511
481,497,492,496,503,496,516,496,534,497,549,497,557,496,555,513,547,513,532,513,518,513,505,512,490,513,478,513
121,534,192,536,191,555,120,553
301,538,374,538,374,556,301,556
483,539,556,539,556,558,483,558
120,578,192,578,192,597,120,597
301,581,362,581,362,599,301,599
483,583,554,583,554,601,483,601
120,621,192,621,192,640,120,640
301,624,372,624,372,642,301,642
483,626,554,626,554,644,483,644
119,665,190,665,190,684,119,684
301,667,372,667,372,685,301,685
481,669,554,669,554,687,481,687
119,708,178,708,178,727,119,727
299,710,372,710,372,728,299,728
483,712,554,712,554,730,483,730
101,751,266,751,266,776,101,776
119,795,190,795,190,813,119,813
299,796,372,796,372,814,299,814
480,797,489,797,500,799,515,798,532,799,545,798,555,798,554,817,544,817,531,818,516,817,501,818,486,816,477,816
96,978,168,978,168,998,96,998
679,978,725,978,725,1003,679,1003
276,980,352,980,352,1002,276,1002
457,983,533,983,533,1002,457,1002
