487,0,516,0,516,18,487,18
521,4,535,4,535,18,521,18
52,4,152,4,152,35,52,35
327,3,432,8,431,39,325,33
168,8,202,8,202,31,168,31
602,8,667,8,667,33,602,33
25,37,164,29,165,57,27,65
258,29,379,40,376,70,256,59
489,41,605,44,604,75,489,72
25,77,166,69,168,106,27,113
258,79,378,85,376,113,257,107
490,84,604,93,601,122,488,113
26,127,162,122,163,151,27,156
258,127,378,133,376,163,257,157
489,135,602,135,602,160,489,160
23,177,164,168,166,194,25,204
260,175,372,181,370,207,259,201
489,181,602,181,602,210,489,210
25,217,162,225,160,259,23,250
260,225,291,225,291,250,260,250
292,221,374,229,372,256,289,247
490,222,603,227,601,255,488,249
25,268,158,268,158,295,25,295
260,270,377,270,377,298,260,298
489,273,527,273,527,293,489,293
529,270,600,270,600,300,529,300
25,316,160,316,160,348,25,348
263,313,380,321,378,349,261,341
483,316,598,316,598,343,483,343
25,360,160,360,160,389,25,389
262,362,373,362,373,389,262,389
491,362,610,362,610,393,491,393
262,408,379,405,379,431,262,433
494,404,598,407,598,432,493,429
25,406,171,412,170,442,24,436
493,446,608,446,608,475,493,475
261,454,378,449,380,476,262,481
27,451,169,458,168,491,25,484
546,493,621,493,621,529,546,529
264,496,379,496,379,525,264,525
496,496,525,496,525,519,496,519
27,500,166,500,166,529,27,529
529,504,544,504,544,516,529,516
496,539,614,539,614,566,496,566
266,544,373,544,373,569,266,569
29,550,168,550,168,575,29,575
550,585,610,585,610,616,550,616
266,589,381,589,381,619,266,619
496,587,527,587,527,610,496,610
29,596,166,596,166,625,29,625
266,631,381,631,381,660,266,660
498,629,618,637,616,670,496,662
27,639,173,639,173,671,27,671
266,682,374,679,375,706,267,709
500,676,614,681,612,713,499,708
27,689,168,689,168,725,27,725
266,725,383,725,383,760,266,760
502,727,608,727,608,750,502,750
25,737,177,737,177,767,25,767
504,772,617,775,616,803,503,800
308,777,391,777,391,808,308,808
268,781,306,781,306,804,268,804
23,790,160,782,161,812,25,820
502,823,618,816,620,848,505,856
298,830,395,821,398,855,301,864
266,829,300,829,300,856,266,856
25,833,168,833,168,865,25,865
308,871,391,871,391,908,308,908
506,871,621,871,621,896,506,896
266,881,306,881,306,902,266,902
24,888,164,883,165,912,25,917
516,937,558,937,558,950,516,950
373,1052,450,1052,450,1092,373,1092
289,1052,335,1052,335,1090,289,1090
341,1060,368,1060,368,1090,341,1090
335,1131,412,1131,412,1158,335,1158
310,1168,440,1171,439,1202,310,1199
31,1242,87,1242,87,1271,31,1271
87,1242,183,1242,183,1271,87,1271
521,1244,566,1244,566,1269,521,1269
